Trainee ID,Trainer ID,Date,Height,Weight,Chest Size,Fat Percentage,Waist Size,Hip Size,Muscle Mass,Goal
20280,30111,2024-12-03,195,81,102,18.67,96,85,50,Build Muscle
20281,30113,2022-01-25,185,88,116,23.12,82,95,36,Build Muscle
20282,30114,2024-02-24,164,82,86,21.77,99,87,32,Maintain
20284,30118,2023-03-23,153,58,89,18.15,81,107,43,Build Muscle
20290,30119,2023-09-01,185,62,86,14.92,70,95,30,Lose Fat
20291,30123,2023-05-24,183,93,111,22.3,76,98,41,Maintain
20292,30143,2023-06-15,182,58,103,21.8,82,106,31,Maintain
20294,30146,2022-02-23,172,70,104,22.02,96,102,33,Build Muscle
20296,30147,2022-12-09,189,70,116,17.46,85,107,33,Maintain
20297,30149,2023-09-17,195,69,86,16.91,73,87,38,Maintain
20298,30153,2023-09-09,151,76,85,12.31,77,99,39,Build Muscle
20300,30158,2022-10-30,200,76,89,17.06,92,85,38,Maintain
20303,30160,2025-05-03,199,85,116,24.4,84,92,36,Build Muscle
20304,30161,2023-01-22,198,70,114,13.52,93,96,37,Build Muscle
20305,30163,2022-11-21,156,59,89,23.44,77,100,37,Lose Fat
20306,30170,2024-07-03,186,75,118,21.32,75,108,37,Lose Fat
20307,30174,2023-05-18,160,62,118,18.89,77,102,50,Build Muscle
20308,30177,2022-12-14,158,67,109,15.77,99,100,36,Maintain
20312,30178,2023-07-31,157,60,103,23.12,75,97,50,Maintain
20314,30179,2021-12-02,163,68,103,15.47,95,99,30,Maintain
20315,30182,2022-11-12,196,59,106,23.43,83,89,48,Maintain
20317,30185,2022-10-01,168,87,117,22.49,86,89,41,Maintain
20318,30187,2023-09-04,193,56,115,22.27,87,109,39,Lose Fat
20320,30189,2023-10-11,200,78,101,17.06,81,91,40,Lose Fat
20322,30191,2023-08-20,165,87,106,18.74,88,90,49,Lose Fat
20323,30192,2025-03-24,169,95,102,16.96,83,94,39,Maintain
20324,30193,2022-12-02,152,93,103,11.89,88,95,50,Lose Fat
20325,30195,2022-03-31,186,75,87,22.83,93,105,34,Maintain
20329,30200,2023-02-11,185,66,115,14.07,96,97,36,Build Muscle
20330,30003,2025-03-13,192,93,107,12.94,82,95,48,Build Muscle
20331,30018,2024-10-05,176,62,87,20.79,78,90,42,Maintain
20332,30020,2023-09-14,164,90,94,22.2,93,98,47,Lose Fat
20335,30051,2023-10-24,165,78,109,22.67,91,110,39,Maintain
20336,30053,2024-02-05,164,72,90,23.89,92,92,50,Lose Fat
20337,30058,2021-12-13,196,58,120,20.13,84,88,49,Build Muscle
20339,30062,2023-11-05,160,62,113,10.21,94,96,49,Build Muscle
20340,30063,2024-02-04,162,56,120,11.87,71,104,36,Maintain
20341,30069,2024-06-18,154,81,106,14.53,74,89,34,Lose Fat
20342,30078,2022-01-14,167,66,110,12.7,82,105,42,Build Muscle
20344,30079,2022-06-24,183,66,112,14.02,84,107,48,Build Muscle
20346,30084,2021-08-18,191,74,116,17.49,99,107,45,Lose Fat
20347,30088,2024-03-18,162,91,119,18.08,90,105,43,Build Muscle
20348,30090,2024-01-13,181,56,93,10.77,78,91,30,Build Muscle
20349,30098,2024-12-22,186,75,108,22.3,97,86,35,Maintain
20350,30103,2022-10-27,187,78,104,15.41,95,106,42,Build Muscle
20353,30104,2023-06-29,174,95,101,21.02,91,92,34,Lose Fat
20354,30109,2022-11-14,193,66,92,16.79,73,85,32,Lose Fat
20357,30110,2022-09-23,180,70,93,22.68,88,89,46,Lose Fat
20358,30111,2023-05-05,154,85,85,12.54,78,89,35,Build Muscle
20359,30113,2022-12-27,200,60,96,23.17,100,91,37,Lose Fat
20361,30114,2022-06-29,199,79,103,10.66,99,98,43,Maintain
20362,30118,2022-03-08,174,64,118,11.9,74,96,44,Maintain
20363,30119,2023-02-20,154,90,85,24.81,97,94,40,Maintain
20364,30123,2022-01-29,173,91,108,24.1,96,98,46,Maintain
20365,30143,2022-01-03,153,74,110,20.25,88,106,30,Lose Fat
20368,30146,2024-09-27,194,64,97,12.74,78,100,39,Build Muscle
20372,30147,2023-03-14,186,78,88,20.21,93,106,41,Build Muscle
20373,30149,2023-11-01,165,64,93,13.7,83,88,49,Build Muscle
20374,30153,2021-05-30,183,68,115,22.21,87,108,37,Lose Fat
20376,30158,2022-04-06,153,92,108,15.42,88,95,42,Maintain
20377,30160,2022-03-22,196,66,95,10.3,76,93,35,Lose Fat
20378,30161,2023-02-09,179,73,105,10.24,94,88,32,Build Muscle
20382,30163,2023-06-22,199,91,114,23.14,82,87,38,Lose Fat
20384,30170,2023-10-17,167,73,92,12.99,76,101,46,Build Muscle
20385,30174,2025-04-22,163,92,95,15.32,90,96,37,Maintain
20386,30177,2024-07-13,155,79,95,16.37,99,99,34,Build Muscle
20388,30178,2022-01-19,162,61,85,11.91,76,90,32,Build Muscle
20392,30179,2024-04-02,179,82,94,20.83,95,91,41,Build Muscle
20393,30182,2023-01-30,182,62,96,23.09,89,106,49,Lose Fat
20395,30185,2021-06-23,159,82,93,17,97,110,35,Lose Fat
20396,30187,2021-12-25,164,73,113,23.63,98,93,42,Build Muscle
20397,30189,2023-09-30,151,60,116,21.23,70,99,41,Maintain
20399,30191,2023-08-29,157,88,87,13.79,79,108,46,Maintain
20400,30192,2021-06-23,200,75,102,24.83,70,86,39,Lose Fat
20401,30193,2023-04-22,155,75,109,10.27,70,93,49,Maintain
20403,30195,2022-03-01,185,91,111,21.99,82,95,48,Lose Fat
20404,30200,2024-04-18,188,81,89,20.86,92,92,37,Build Muscle
20405,30003,2022-01-24,172,84,103,21.4,73,95,41,Maintain
20408,30018,2023-08-17,200,86,103,14.53,88,88,48,Lose Fat
20409,30020,2022-12-05,196,58,116,10.43,79,95,49,Maintain
20411,30051,2022-02-08,176,86,106,23.37,97,110,36,Build Muscle
20412,30053,2023-04-16,188,90,104,20.29,91,109,41,Maintain
20413,30058,2022-09-23,175,63,93,15.42,77,105,34,Maintain
20417,30062,2023-03-29,166,79,101,14.02,84,90,31,Lose Fat
20424,30063,2023-12-21,151,94,87,15.31,94,97,34,Lose Fat
20425,30069,2022-03-12,154,88,94,10.76,90,102,41,Lose Fat
20427,30078,2023-07-11,153,83,85,21.75,94,105,37,Lose Fat
20428,30079,2022-07-19,185,87,114,23.9,78,90,44,Maintain
20429,30084,2022-05-25,170,88,118,16.67,89,97,50,Build Muscle
20431,30088,2023-03-24,150,87,91,18.43,77,93,36,Maintain
20433,30090,2024-01-25,190,83,112,21.95,80,96,42,Lose Fat
20434,30098,2023-09-14,153,55,90,10.29,78,99,46,Lose Fat
20436,30103,2022-04-24,183,60,91,12.52,70,105,30,Maintain
20438,30104,2022-11-29,194,84,93,20.19,93,92,42,Build Muscle
20439,30109,2023-08-18,187,88,97,12.83,85,93,36,Lose Fat
20442,30110,2023-01-17,159,62,102,10,73,104,38,Build Muscle
20448,30111,2023-06-23,196,93,101,18.57,94,93,31,Build Muscle
20451,30113,2023-08-16,175,67,110,13.86,89,103,44,Build Muscle
20455,30114,2022-03-18,172,56,115,12.08,70,107,37,Lose Fat
20456,30118,2022-08-26,159,65,91,23.94,95,106,43,Maintain
20460,30119,2023-04-13,172,59,102,12.39,87,93,48,Maintain
20462,30123,2022-08-19,185,85,115,10.54,94,108,34,Maintain
20463,30143,2022-12-06,180,93,116,21.94,100,90,46,Lose Fat
20468,30146,2023-04-20,165,88,107,11.93,71,92,49,Build Muscle
20472,30147,2022-12-01,196,65,87,24.25,72,93,43,Maintain
20473,30149,2024-03-25,186,60,112,22.28,79,85,43,Build Muscle
20478,30153,2023-06-03,184,69,120,18.38,95,102,39,Build Muscle
20480,30158,2023-03-06,193,83,89,18.21,88,93,32,Build Muscle
20483,30160,2021-06-19,150,93,104,13.55,94,88,36,Lose Fat
20484,30161,2022-11-27,154,62,105,14.91,71,88,46,Maintain
20488,30163,2023-05-17,161,77,108,11.04,82,102,31,Build Muscle
20489,30170,2023-02-03,175,94,118,15.58,77,93,39,Lose Fat
20493,30174,2022-07-12,152,88,115,15.15,80,97,41,Lose Fat
20494,30177,2023-09-04,185,87,101,14.77,96,95,41,Build Muscle
20495,30178,2024-04-29,188,71,85,20.76,88,97,33,Build Muscle
20502,30179,2023-12-07,177,71,98,15.96,92,95,45,Lose Fat
20503,30182,2022-11-05,151,95,101,13.63,86,98,36,Build Muscle
20513,30185,2023-08-27,158,57,106,12.61,71,95,38,Maintain
20517,30187,2021-12-31,150,68,113,23.04,81,102,46,Lose Fat
20520,30189,2023-02-24,186,93,90,23.92,100,85,36,Build Muscle
20523,30191,2023-12-14,166,94,91,11.04,83,91,35,Build Muscle
20525,30192,2023-05-06,172,86,106,16.6,85,108,48,Build Muscle
20526,30193,2023-02-25,163,72,120,21.93,71,109,37,Lose Fat
20527,30195,2023-08-18,168,62,103,22.15,93,108,43,Lose Fat
20539,30200,2024-02-21,155,67,103,13.12,97,90,49,Lose Fat
20540,30003,2023-11-17,159,95,98,17.25,84,103,39,Maintain
20545,30018,2025-01-04,164,91,120,16.28,76,98,41,Lose Fat
20547,30020,2022-12-09,159,70,117,21.15,80,99,37,Build Muscle
20550,30051,2022-10-27,168,67,91,16.33,95,109,38,Build Muscle
20565,30053,2023-08-06,189,87,114,12.9,96,87,34,Maintain
20569,30058,2021-07-24,200,71,115,14.76,98,110,44,Lose Fat
20573,30062,2022-11-16,155,58,118,15.58,88,108,50,Build Muscle
20578,30063,2022-01-21,194,76,119,13.66,99,87,48,Lose Fat
20579,30069,2023-10-20,181,87,108,22.98,99,89,43,Lose Fat
20580,30078,2022-08-22,173,71,96,23.21,79,103,35,Maintain
20584,30079,2023-07-26,190,59,93,17.23,78,105,33,Build Muscle
20589,30084,2023-05-17,187,71,114,19.07,97,99,49,Maintain
20590,30088,2023-05-15,170,86,95,17.82,84,90,37,Build Muscle
20591,30090,2022-07-13,153,60,91,19.33,91,88,30,Build Muscle
20600,30098,2022-12-08,166,91,112,20.38,74,109,41,Lose Fat
20603,30103,2023-06-05,160,93,105,18.33,76,109,33,Build Muscle
20604,30104,2024-03-22,150,93,93,12.75,85,93,42,Build Muscle
20606,30109,2022-11-19,159,70,93,14.02,71,85,41,Build Muscle
20611,30110,2022-06-10,177,94,111,11.76,94,109,38,Build Muscle
20621,30111,2024-07-10,166,71,116,24.16,87,104,48,Lose Fat
20625,30113,2022-03-03,169,73,99,12.86,87,93,33,Maintain
20631,30114,2021-11-29,195,95,92,17.5,87,95,33,Maintain
20632,30118,2023-05-31,189,56,94,24.45,96,87,44,Build Muscle
20637,30119,2024-05-29,170,63,86,15.66,70,109,34,Lose Fat
20640,30123,2024-06-15,194,91,107,14.16,90,88,46,Build Muscle
20642,30143,2023-11-02,158,71,112,19.99,80,110,41,Build Muscle
20645,30146,2022-05-26,188,89,109,22.32,89,103,49,Build Muscle
20646,30147,2022-01-30,198,55,101,19.9,70,94,39,Build Muscle
20648,30149,2022-01-20,174,78,88,24.48,80,102,40,Lose Fat
20651,30153,2023-01-11,181,64,95,13.04,87,93,40,Maintain
20661,30158,2022-06-02,179,84,93,20.82,88,89,36,Lose Fat
20664,30160,2024-05-21,200,66,115,21.3,70,103,43,Maintain
20667,30161,2023-04-23,188,76,106,13.53,74,107,48,Lose Fat
20675,30163,2023-10-22,154,61,96,16.79,79,97,31,Lose Fat
20677,30170,2022-07-15,195,55,118,12.92,74,94,33,Lose Fat
20680,30174,2023-11-17,193,73,87,23.37,95,99,32,Maintain
20681,30177,2022-04-26,164,87,113,13.63,93,98,32,Maintain
20682,30178,2023-10-25,190,77,91,15.78,90,102,42,Lose Fat
20683,30179,2022-07-21,172,73,119,22.88,82,107,45,Lose Fat
20689,30182,2023-04-30,163,82,102,22.57,76,87,35,Lose Fat
20691,30185,2023-06-22,183,91,120,18.61,98,105,33,Build Muscle
20699,30187,2023-03-19,161,92,96,16.06,97,95,32,Maintain
20701,30189,2022-01-10,168,61,115,14.87,87,108,39,Maintain
20706,30191,2023-04-13,172,65,91,15.59,84,91,43,Maintain
20708,30192,2022-01-31,194,84,95,16.3,95,87,34,Lose Fat
20710,30193,2023-01-12,199,91,114,12.34,76,101,37,Lose Fat
20711,30195,2023-03-02,153,83,89,11.07,100,105,49,Maintain
20712,30200,2024-01-08,165,94,120,23.65,82,92,47,Build Muscle
20714,30003,2023-01-06,169,65,117,21.78,89,107,47,Build Muscle
20717,30018,2025-02-24,163,78,116,16.96,82,95,49,Lose Fat
20718,30020,2022-01-31,190,68,119,22.55,70,86,31,Lose Fat
20722,30051,2023-06-10,161,62,102,15.16,79,103,35,Maintain
20729,30053,2022-09-17,191,69,117,20.36,91,98,44,Lose Fat
20730,30058,2022-06-06,188,66,87,24.59,90,95,30,Lose Fat
20737,30062,2022-09-03,155,66,85,10.79,77,102,31,Lose Fat
20745,30063,2024-05-12,187,84,110,20.75,73,110,35,Lose Fat
20750,30069,2023-09-13,187,56,86,21.21,99,106,42,Maintain
20752,30078,2022-03-18,193,73,103,23.59,70,87,39,Build Muscle
20753,30079,2023-08-22,155,85,113,12.22,79,106,41,Lose Fat
20754,30084,2021-08-31,200,83,114,22.21,88,101,41,Lose Fat
20755,30088,2022-03-23,175,64,116,10.31,95,85,49,Build Muscle
20756,30090,2023-08-16,197,89,88,11.18,77,90,41,Build Muscle
20757,30098,2024-10-23,150,72,94,15.21,91,108,47,Lose Fat
20759,30103,2024-06-21,169,89,104,17.14,88,88,47,Maintain
20761,30104,2023-04-17,151,87,85,10.48,85,106,38,Maintain
20762,30109,2022-06-20,192,71,106,24.17,96,106,49,Build Muscle
20763,30110,2024-01-03,191,66,100,21.61,81,85,36,Build Muscle
20773,30111,2023-10-20,185,80,113,21.07,75,86,44,Maintain
20775,30113,2023-05-03,182,67,104,17.9,88,89,49,Maintain
20783,30114,2023-03-29,177,94,95,13.5,100,94,35,Lose Fat
20785,30118,2023-12-23,192,60,92,24.02,89,86,30,Lose Fat
20786,30119,2023-04-17,181,61,97,23.12,92,90,31,Maintain
20787,30123,2023-08-02,152,84,85,24.56,100,99,36,Maintain
20789,30143,2024-03-23,175,72,100,15.1,78,88,42,Lose Fat
20792,30146,2023-02-18,199,66,114,19.23,83,103,38,Maintain
20794,30147,2023-02-10,155,92,109,23.23,93,88,38,Lose Fat
20795,30149,2024-08-04,153,79,92,14.88,81,103,43,Maintain
20797,30153,2022-12-16,177,94,119,16.06,99,109,38,Build Muscle
20798,30158,2023-05-23,179,79,94,18.77,87,98,49,Lose Fat
20801,30160,2022-01-01,171,78,94,24.31,81,109,41,Maintain
20802,30161,2023-06-30,168,93,95,19.62,81,94,33,Maintain
20805,30163,2022-08-18,192,80,107,18.5,95,99,46,Lose Fat
20813,30170,2022-04-30,153,77,92,16.74,94,100,36,Build Muscle
20815,30174,2022-06-23,165,57,88,21.25,97,106,42,Lose Fat
20818,30177,2022-04-11,193,83,85,21.42,80,106,30,Maintain
20819,30178,2024-04-25,160,91,92,23.79,93,87,30,Lose Fat
20822,30179,2022-01-27,155,56,85,20.62,81,104,47,Maintain
20823,30182,2023-08-17,181,88,93,18.57,91,109,33,Lose Fat
20826,30185,2024-07-12,150,72,120,15.2,100,95,42,Maintain
20828,30187,2023-04-07,181,93,95,19.66,76,105,36,Maintain
20829,30189,2022-11-23,153,95,87,24.44,79,90,32,Build Muscle
20831,30191,2022-06-06,166,61,111,15.74,88,109,31,Maintain
20832,30192,2023-01-26,156,91,116,16.53,86,90,43,Build Muscle
20833,30193,2024-02-22,176,75,99,19.14,85,88,47,Build Muscle
20836,30195,2022-12-01,169,73,104,21.49,79,88,43,Lose Fat
20838,30200,2023-06-20,175,58,92,10.12,86,106,45,Lose Fat
20839,30003,2024-10-21,170,57,114,22.13,77,88,45,Build Muscle
20847,30018,2023-03-24,191,75,101,17.2,72,93,40,Build Muscle
20850,30020,2022-11-11,174,84,86,10.38,71,100,46,Maintain
20855,30051,2022-12-03,194,60,101,17.72,88,91,38,Build Muscle
20857,30053,2021-10-29,175,69,97,24.94,86,106,43,Lose Fat
20864,30058,2024-08-06,163,86,86,17.8,74,86,35,Build Muscle
20865,30062,2023-09-23,194,83,88,24.46,75,87,30,Maintain
20867,30063,2022-11-01,175,55,86,13.64,97,99,42,Build Muscle
20873,30069,2023-02-25,154,90,111,14.51,77,95,34,Build Muscle
20882,30078,2023-05-01,151,78,97,20.18,87,110,35,Build Muscle
20889,30079,2022-03-18,150,56,94,23.45,89,100,32,Build Muscle
20890,30084,2024-06-17,200,56,108,18.26,92,99,48,Lose Fat
20899,30088,2024-03-13,186,93,113,16.6,77,107,48,Lose Fat
20903,30090,2023-03-07,162,63,116,22.45,77,94,40,Lose Fat
20905,30098,2022-11-01,186,69,90,17.29,85,87,44,Lose Fat
20910,30103,2022-09-18,155,60,106,22.96,74,96,40,Build Muscle
20915,30104,2023-10-01,164,78,114,13.52,70,88,46,Maintain
20918,30109,2022-11-03,197,56,95,11.8,87,105,50,Build Muscle
20926,30110,2023-04-06,185,94,118,11.17,94,105,39,Lose Fat
20930,30111,2023-09-13,168,77,91,22.07,92,110,34,Maintain
20931,30113,2022-10-09,199,71,101,20.32,95,86,50,Maintain
20934,30114,2024-04-13,184,57,117,11.99,72,88,37,Build Muscle
20940,30118,2023-11-15,168,66,103,23.13,90,101,33,Maintain
20942,30119,2022-03-04,151,90,98,17.32,73,110,37,Lose Fat
20944,30123,2023-05-13,177,75,100,20.01,79,96,50,Lose Fat
20945,30143,2023-08-03,191,90,115,14.91,84,98,34,Maintain
20948,30146,2023-02-02,151,58,88,22.19,83,104,41,Maintain
20951,30147,2023-05-29,167,76,91,22.78,79,89,44,Maintain
20955,30149,2022-05-25,199,90,112,21.55,76,94,41,Lose Fat
20957,30153,2022-09-08,176,64,119,20.11,87,94,47,Build Muscle
20958,30158,2023-10-28,196,88,88,11.6,83,108,40,Lose Fat
20960,30160,2024-08-19,194,72,93,15.75,70,85,41,Build Muscle
20962,30161,2023-05-20,173,79,111,19.67,89,88,35,Lose Fat
20964,30163,2024-07-29,153,90,96,13.5,100,94,45,Lose Fat
20967,30170,2023-12-01,189,76,94,16.7,95,90,50,Maintain
20968,30174,2022-01-13,161,88,85,24.58,74,90,40,Build Muscle
20969,30177,2022-12-04,176,95,108,22.27,90,110,35,Maintain
20972,30178,2022-03-19,160,91,90,13.61,91,97,37,Build Muscle
20974,30179,2023-11-28,155,89,85,13.77,79,101,41,Lose Fat
20976,30182,2022-06-14,150,63,119,11.52,100,102,38,Maintain
20984,30185,2023-12-05,151,76,95,10.97,95,88,32,Maintain
20985,30187,2023-08-20,194,90,112,12.24,84,90,38,Maintain
20988,30189,2021-11-11,151,78,120,10.17,75,96,32,Build Muscle
20989,30191,2023-10-29,168,88,110,20.36,72,89,40,Lose Fat
20990,30192,2021-10-26,153,88,100,18.35,90,88,35,Lose Fat
20991,30193,2024-07-26,187,68,117,15.35,89,99,50,Build Muscle
20992,30195,2024-04-15,157,65,90,15.67,92,101,38,Lose Fat
20993,30200,2024-01-03,187,82,88,15.43,87,99,34,Maintain
20996,30003,2024-07-21,181,73,98,23.48,88,93,33,Build Muscle
21001,30018,2025-04-28,186,62,91,24.5,84,96,40,Lose Fat
21003,30020,2023-07-04,188,84,97,21.33,73,106,46,Build Muscle
21020,30051,2021-09-27,162,79,85,18.74,82,109,34,Build Muscle
21021,30053,2023-03-20,182,78,97,15.32,100,109,36,Maintain
21023,30058,2022-02-13,188,68,117,19.97,85,109,42,Lose Fat
21028,30062,2024-07-27,171,85,86,20.9,80,94,45,Maintain
21034,30063,2022-06-27,191,60,90,18.14,89,92,34,Maintain
