Trainee ID,Membership ID,Branch ID,Date,Invoice Number,Payment Method,Total Amount
20094,5,2,2025-04-18,INV1094,Credit Card,30000
20095,3,1,2024-07-22,INV1095,Credit Card,15000
20096,1,1,2023-06-14,INV1096,Instapay,5000
20097,3,2,2022-09-22,INV1097,Credit Card,15000
20098,1,1,2024-05-15,INV1098,Credit Card,5000
20099,4,2,2024-03-03,INV1099,Instapay,16000
20100,2,2,2023-09-28,INV1100,Cash,8000
20101,1,2,2024-05-28,INV1101,Instapay,5000
20102,5,3,2022-05-26,INV1102,Credit Card,30000
20103,3,2,2024-06-07,INV1103,Instapay,15000
20104,5,1,2025-04-15,INV1104,Credit Card,30000
20105,2,1,2023-06-26,INV1105,Cash,8000
20106,3,3,2022-10-09,INV1106,Credit Card,15000
20107,4,2,2023-04-23,INV1107,Instapay,16000
20108,2,3,2022-06-30,INV1108,Cash,8000
20109,1,3,2021-07-07,INV1109,Instapay,5000
20110,2,1,2023-07-18,INV1110,Credit Card,8000
20111,3,2,2022-03-28,INV1111,Cash,15000
20112,5,1,2022-04-03,INV1112,Instapay,30000
20113,3,2,2023-10-16,INV1113,Cash,15000
20114,5,1,2022-04-09,INV1114,Credit Card,30000
20115,4,1,2023-03-27,INV1115,Cash,16000
20116,5,2,2024-06-26,INV1116,Cash,30000
20117,4,1,2023-07-10,INV1117,Credit Card,16000
20118,3,1,2021-12-13,INV1118,Cash,15000
20119,5,3,2023-01-26,INV1119,Instapay,30000
20120,1,3,2022-01-06,INV1120,Instapay,5000
20121,3,1,2022-01-15,INV1121,Instapay,15000
20122,1,2,2022-08-30,INV1122,Instapay,5000
20123,1,1,2022-06-29,INV1123,Instapay,5000
20124,4,2,2022-04-02,INV1124,Credit Card,16000
20125,1,1,2023-03-01,INV1125,Instapay,5000
20126,2,2,2022-05-15,INV1126,Cash,8000
20127,5,1,2021-11-26,INV1127,Cash,30000
20128,1,3,2024-09-05,INV1128,Cash,5000
20129,4,1,2023-01-02,INV1129,Instapay,16000
20130,1,1,2025-04-12,INV1130,Instapay,5000
20131,2,2,2021-10-11,INV1131,Credit Card,8000
20132,4,4,2024-04-12,INV1132,Credit Card,16000
20133,5,3,2022-09-16,INV1133,Instapay,30000
20134,5,4,2023-02-20,INV1134,Cash,30000
20135,5,1,2021-05-29,INV1135,Credit Card,30000
20136,1,3,2024-11-09,INV1136,Cash,5000
20137,1,2,2022-01-31,INV1137,Instapay,5000
20138,4,3,2023-06-27,INV1138,Credit Card,16000
20139,4,3,2024-08-03,INV1139,Credit Card,16000
20140,2,1,2023-04-19,INV1140,Cash,8000
20141,3,3,2024-06-19,INV1141,Cash,15000
20142,3,3,2022-11-27,INV1142,Credit Card,15000
20143,1,4,2023-10-17,INV1143,Instapay,5000
20144,5,2,2023-08-24,INV1144,Instapay,30000
20145,1,4,2024-08-01,INV1145,Credit Card,5000
20146,4,4,2021-09-07,INV1146,Cash,16000
20147,2,1,2023-09-26,INV1147,Instapay,8000
20148,3,4,2023-07-02,INV1148,Instapay,15000
20149,4,2,2022-05-26,INV1149,Cash,16000
20150,3,5,2023-01-19,INV1150,Credit Card,15000
20151,2,1,2022-08-13,INV1151,Instapay,8000
20152,3,2,2022-05-20,INV1152,Credit Card,15000
20153,5,2,2024-05-31,INV1153,Instapay,30000
20154,1,2,2022-12-07,INV1154,Instapay,5000
20155,4,2,2023-02-21,INV1155,Credit Card,16000
20156,3,2,2022-09-09,INV1156,Cash,15000
20157,5,2,2022-02-24,INV1157,Credit Card,30000
20158,1,3,2023-04-22,INV1158,Cash,5000
20159,4,1,2025-01-22,INV1159,Credit Card,16000
20160,1,3,2024-10-08,INV1160,Instapay,5000
20161,5,3,2025-03-25,INV1161,Cash,30000
20162,4,2,2022-12-23,INV1162,Credit Card,16000
20163,2,3,2022-09-06,INV1163,Instapay,8000
20164,4,1,2023-04-12,INV1164,Credit Card,16000
20165,1,2,2023-12-04,INV1165,Cash,5000
20166,4,1,2023-01-18,INV1166,Cash,16000
20167,1,3,2023-04-22,INV1167,Credit Card,5000
20168,1,2,2022-11-30,INV1168,Credit Card,5000
20169,4,3,2022-09-08,INV1169,Cash,16000
20170,2,1,2023-01-11,INV1170,Cash,8000
20171,3,2,2024-04-01,INV1171,Credit Card,15000
20172,4,3,2023-07-24,INV1172,Instapay,16000
20173,2,1,2024-01-19,INV1173,Cash,8000
20174,1,2,2023-05-24,INV1174,Cash,5000
20175,5,3,2024-11-22,INV1175,Credit Card,30000
20176,2,1,2022-01-23,INV1176,Cash,8000
20177,1,1,2022-05-08,INV1177,Credit Card,5000
20178,3,1,2024-08-02,INV1178,Cash,15000
20179,1,2,2025-03-02,INV1179,Cash,5000
20180,4,2,2024-07-12,INV1180,Instapay,16000
20181,1,2,2022-04-10,INV1181,Credit Card,5000
20182,3,4,2021-10-16,INV1182,Credit Card,15000
20183,2,4,2024-04-15,INV1183,Cash,8000
20184,5,2,2022-01-02,INV1184,Cash,30000
20185,2,3,2021-08-31,INV1185,Instapay,8000
20186,5,3,2024-04-18,INV1186,Credit Card,30000
20187,2,2,2024-01-03,INV1187,Instapay,8000
20188,2,1,2023-03-16,INV1188,Instapay,8000
20189,5,3,2022-07-03,INV1189,Instapay,30000
20190,1,1,2023-03-03,INV1190,Instapay,5000
20191,4,4,2022-09-20,INV1191,Cash,16000
20192,3,1,2022-12-16,INV1192,Instapay,15000
20193,2,1,2023-02-18,INV1193,Credit Card,8000
20194,3,2,2023-10-24,INV1194,Credit Card,15000
20195,3,2,2022-12-01,INV1195,Credit Card,15000
20196,1,3,2022-08-23,INV1196,Cash,5000
20197,1,3,2024-05-13,INV1197,Credit Card,5000
20198,2,2,2021-09-17,INV1198,Cash,8000
20199,5,1,2021-12-15,INV1199,Cash,30000
20200,3,1,2022-12-20,INV1200,Cash,15000
20201,3,1,2024-12-07,INV1201,Cash,15000
20202,5,1,2022-03-01,INV1202,Credit Card,30000
20203,3,2,2024-04-02,INV1203,Credit Card,15000
20204,1,3,2023-11-27,INV1204,Credit Card,5000
20205,3,1,2023-06-10,INV1205,Instapay,15000
20206,3,1,2023-03-17,INV1206,Cash,15000
20207,3,1,2023-03-22,INV1207,Cash,15000
20208,5,3,2022-06-21,INV1208,Cash,30000
20209,5,2,2023-09-02,INV1209,Credit Card,30000
20210,3,1,2023-08-29,INV1210,Instapay,15000
20211,3,1,2023-01-07,INV1211,Credit Card,15000
20212,3,1,2022-05-14,INV1212,Credit Card,15000
20213,3,2,2021-07-06,INV1213,Credit Card,15000
20214,3,2,2021-12-06,INV1214,Cash,15000
20215,5,3,2023-06-30,INV1215,Instapay,30000
20216,3,1,2022-04-18,INV1216,Instapay,15000
20217,3,1,2022-12-19,INV1217,Cash,15000
20218,3,2,2021-12-03,INV1218,Cash,15000
20219,2,1,2023-10-19,INV1219,Cash,8000
20220,3,1,2023-10-13,INV1220,Cash,15000
20221,2,2,2022-03-12,INV1221,Cash,8000
20222,5,1,2024-07-13,INV1222,Credit Card,30000
20223,5,1,2024-11-14,INV1223,Instapay,30000
20224,5,3,2022-11-19,INV1224,Credit Card,30000
20225,5,1,2023-06-01,INV1225,Instapay,30000
20226,3,2,2023-10-17,INV1226,Credit Card,15000
20227,5,1,2022-12-01,INV1227,Credit Card,30000
20228,2,3,2023-07-27,INV1228,Cash,8000
20229,2,2,2021-05-25,INV1229,Instapay,8000
20230,3,2,2023-03-31,INV1230,Credit Card,15000
20231,3,3,2024-07-09,INV1231,Cash,15000
20232,2,1,2022-03-16,INV1232,Cash,8000
20233,2,1,2025-04-02,INV1233,Instapay,8000
20234,3,2,2024-09-16,INV1234,Instapay,15000
20235,4,1,2024-05-27,INV1235,Credit Card,16000
20236,1,3,2022-12-23,INV1236,Credit Card,5000
20237,1,3,2023-09-01,INV1237,Instapay,5000
20238,4,3,2023-03-02,INV1238,Cash,16000
20239,1,1,2021-09-08,INV1239,Credit Card,5000
20240,1,1,2024-06-09,INV1240,Cash,5000
20241,3,2,2023-06-20,INV1241,Credit Card,15000
20242,1,2,2023-05-19,INV1242,Instapay,5000
20243,4,2,2022-02-07,INV1243,Instapay,16000
20244,2,3,2022-07-02,INV1244,Instapay,8000
20245,1,1,2023-08-12,INV1245,Instapay,5000
20246,3,1,2023-02-01,INV1246,Instapay,15000
20247,4,1,2022-12-02,INV1247,Credit Card,16000
20248,1,1,2022-05-09,INV1248,Cash,5000
20249,4,1,2022-12-16,INV1249,Cash,16000
20250,3,3,2022-08-23,INV1250,Cash,15000
20251,1,1,2022-09-01,INV1251,Instapay,5000
20252,2,2,2023-04-16,INV1252,Cash,8000
20253,4,1,2024-05-15,INV1253,Credit Card,16000
20254,2,5,2023-12-21,INV1254,Instapay,8000
20255,5,3,2023-06-18,INV1255,Credit Card,30000
20256,4,1,2024-11-24,INV1256,Cash,16000
20257,5,1,2024-03-23,INV1257,Cash,30000
20258,5,1,2022-11-08,INV1258,Credit Card,30000
20259,5,1,2025-03-07,INV1259,Credit Card,30000
20260,3,1,2024-10-25,INV1260,Credit Card,15000
20261,3,1,2023-11-06,INV1261,Instapay,15000
20262,5,1,2024-04-17,INV1262,Credit Card,30000
20263,5,1,2024-03-20,INV1263,Credit Card,30000
20264,5,3,2023-04-20,INV1264,Instapay,30000
20265,3,1,2023-06-18,INV1265,Credit Card,15000
20266,1,1,2022-08-30,INV1266,Credit Card,5000
20267,2,2,2023-12-23,INV1267,Credit Card,8000
20268,2,3,2023-03-01,INV1268,Instapay,8000
20269,2,1,2022-03-15,INV1269,Instapay,8000
20270,2,3,2024-04-14,INV1270,Instapay,8000
20271,3,3,2024-04-06,INV1271,Credit Card,15000
20272,5,3,2024-06-03,INV1272,Instapay,30000
20273,4,3,2023-01-03,INV1273,Cash,16000
20274,4,2,2024-12-17,INV1274,Cash,16000
20275,5,1,2022-09-25,INV1275,Cash,30000
20276,3,2,2022-12-13,INV1276,Instapay,15000
20277,3,3,2023-12-13,INV1277,Cash,15000
20278,3,3,2023-04-13,INV1278,Instapay,15000
20279,1,3,2023-05-10,INV1279,Cash,5000
20280,1,1,2024-12-03,INV1280,Credit Card,5000
20281,3,1,2022-01-25,INV1281,Cash,15000
20282,3,1,2024-02-24,INV1282,Instapay,15000
20283,1,2,2023-12-02,INV1283,Instapay,5000
20284,5,1,2023-03-23,INV1284,Cash,30000
20285,1,3,2024-03-17,INV1285,Credit Card,5000
20286,3,3,2022-04-19,INV1286,Instapay,15000
20287,5,3,2022-05-05,INV1287,Cash,30000
20288,2,2,2021-12-13,INV1288,Instapay,8000
20289,1,3,2024-09-25,INV1289,Credit Card,5000
20290,1,1,2023-09-01,INV1290,Credit Card,5000
20291,5,1,2023-05-24,INV1291,Cash,30000
20292,5,1,2023-06-15,INV1292,Instapay,30000
20293,1,2,2023-08-04,INV1293,Instapay,5000
20294,4,1,2022-02-23,INV1294,Credit Card,16000
20295,4,3,2023-07-26,INV1295,Instapay,16000
20296,3,1,2022-12-09,INV1296,Instapay,15000
20297,1,1,2023-09-17,INV1297,Cash,5000
20298,2,1,2023-09-09,INV1298,Credit Card,8000
20299,2,3,2022-07-18,INV1299,Instapay,8000
20300,4,1,2022-10-30,INV1300,Credit Card,16000
20301,2,3,2024-10-28,INV1301,Cash,8000
20302,2,3,2022-06-01,INV1302,Credit Card,8000
20303,5,1,2025-05-03,INV1303,Instapay,30000
20304,5,1,2023-01-22,INV1304,Cash,30000
20305,1,1,2022-11-21,INV1305,Credit Card,5000
20306,2,1,2024-07-03,INV1306,Cash,8000
20307,2,1,2023-05-18,INV1307,Credit Card,8000
20308,1,1,2022-12-14,INV1308,Credit Card,5000
20309,5,3,2023-04-10,INV1309,Instapay,30000
20310,4,2,2023-01-22,INV1310,Credit Card,16000
20311,5,3,2024-04-24,INV1311,Cash,30000
20312,3,1,2023-07-31,INV1312,Instapay,15000
20313,3,3,2022-04-25,INV1313,Cash,15000
20314,1,1,2021-12-02,INV1314,Cash,5000
20315,5,1,2022-11-12,INV1315,Credit Card,30000
20316,1,3,2023-10-01,INV1316,Credit Card,5000
20317,4,1,2022-10-01,INV1317,Cash,16000
20318,2,1,2023-09-04,INV1318,Cash,8000
20319,3,2,2023-12-30,INV1319,Cash,15000
20320,2,1,2023-10-11,INV1320,Credit Card,8000
20321,4,2,2023-09-12,INV1321,Credit Card,16000
20322,4,1,2023-08-20,INV1322,Instapay,16000
20323,4,1,2025-03-24,INV1323,Instapay,16000
20324,5,1,2022-12-02,INV1324,Instapay,30000
20325,3,1,2022-03-31,INV1325,Cash,15000
20326,1,3,2024-03-05,INV1326,Instapay,5000
20327,3,3,2024-08-15,INV1327,Credit Card,15000
20328,5,2,2022-08-19,INV1328,Instapay,30000
20329,5,1,2023-02-11,INV1329,Credit Card,30000
20330,1,1,2025-03-13,INV1330,Credit Card,5000
20331,1,1,2024-10-05,INV1331,Cash,5000
20332,1,1,2023-09-14,INV1332,Instapay,5000
20333,3,2,2022-11-16,INV1333,Credit Card,15000
20334,2,3,2023-11-12,INV1334,Cash,8000
20335,1,1,2023-10-24,INV1335,Credit Card,5000
20336,5,1,2024-02-05,INV1336,Instapay,30000
20337,4,1,2021-12-13,INV1337,Instapay,16000
20338,5,2,2023-01-14,INV1338,Credit Card,30000
20339,2,1,2023-11-05,INV1339,Cash,8000
20340,4,1,2024-02-04,INV1340,Instapay,16000
20341,1,1,2024-06-18,INV1341,Instapay,5000
20342,4,1,2022-01-14,INV1342,Credit Card,16000
20343,5,3,2025-01-04,INV1343,Cash,30000
20344,2,1,2022-06-24,INV1344,Credit Card,8000
20345,3,2,2023-01-05,INV1345,Instapay,15000
20346,5,1,2021-08-18,INV1346,Instapay,30000
20347,5,1,2024-03-18,INV1347,Instapay,30000
20348,2,1,2024-01-13,INV1348,Cash,8000
20349,5,1,2024-12-22,INV1349,Instapay,30000
20350,4,1,2022-10-27,INV1350,Cash,16000
20351,4,3,2022-10-05,INV1351,Instapay,16000
20352,5,2,2023-07-28,INV1352,Instapay,30000
20353,5,1,2023-06-29,INV1353,Instapay,30000
20354,4,1,2022-11-14,INV1354,Cash,16000
20355,3,2,2023-08-26,INV1355,Cash,15000
20356,5,3,2024-06-18,INV1356,Instapay,30000
20357,3,1,2022-09-23,INV1357,Instapay,15000
20358,2,1,2023-05-05,INV1358,Credit Card,8000
20359,1,1,2022-12-27,INV1359,Cash,5000
20360,2,3,2021-05-26,INV1360,Credit Card,8000
20361,1,1,2022-06-29,INV1361,Instapay,5000
20362,3,1,2022-03-08,INV1362,Credit Card,15000
20363,2,1,2023-02-20,INV1363,Credit Card,8000
20364,1,1,2022-01-29,INV1364,Cash,5000
20365,1,1,2022-01-03,INV1365,Credit Card,5000
20366,5,2,2022-02-14,INV1366,Instapay,30000
20367,4,3,2023-07-08,INV1367,Instapay,16000
20368,2,1,2024-09-27,INV1368,Cash,8000
20369,3,2,2024-04-02,INV1369,Credit Card,15000
20370,1,2,2024-09-25,INV1370,Instapay,5000
20371,4,3,2023-07-14,INV1371,Cash,16000
20372,3,1,2023-03-14,INV1372,Instapay,15000
20373,5,1,2023-11-01,INV1373,Credit Card,30000
20374,1,1,2021-05-30,INV1374,Instapay,5000
20375,1,2,2022-11-03,INV1375,Credit Card,5000
20376,3,1,2022-04-06,INV1376,Cash,15000
20377,5,1,2022-03-22,INV1377,Instapay,30000
20378,3,1,2023-02-09,INV1378,Credit Card,15000
20379,4,2,2022-03-26,INV1379,Credit Card,16000
20380,2,3,2024-11-19,INV1380,Credit Card,8000
20381,3,3,2022-01-13,INV1381,Cash,15000
20382,3,1,2023-06-22,INV1382,Credit Card,15000
20383,3,2,2023-08-22,INV1383,Credit Card,15000
20384,5,1,2023-10-17,INV1384,Credit Card,30000
20385,4,1,2025-04-22,INV1385,Cash,16000
20386,4,1,2024-07-13,INV1386,Credit Card,16000
20387,2,2,2022-01-02,INV1387,Instapay,8000
20388,1,1,2022-01-19,INV1388,Credit Card,5000
20389,3,3,2023-06-30,INV1389,Cash,15000
20390,5,3,2023-12-05,INV1390,Cash,30000
20391,5,2,2022-02-03,INV1391,Instapay,30000
20392,1,1,2024-04-02,INV1392,Instapay,5000
20393,1,1,2023-01-30,INV1393,Cash,5000
20394,4,3,2023-12-20,INV1394,Credit Card,16000
20395,3,1,2021-06-23,INV1395,Cash,15000
20396,4,1,2021-12-25,INV1396,Credit Card,16000
20397,2,1,2023-09-30,INV1397,Cash,8000
20398,4,3,2022-10-21,INV1398,Cash,16000
20399,2,1,2023-08-29,INV1399,Instapay,8000
20400,3,1,2021-06-23,INV1400,Instapay,15000
20401,2,1,2023-04-22,INV1401,Cash,8000
20402,5,2,2023-05-29,INV1402,Cash,30000
20403,2,1,2022-03-01,INV1403,Instapay,8000
20404,5,1,2024-04-18,INV1404,Instapay,30000
20405,3,1,2022-01-24,INV1405,Credit Card,15000
20406,2,2,2022-10-01,INV1406,Credit Card,8000
20407,4,3,2024-05-18,INV1407,Cash,16000
20408,1,1,2023-08-17,INV1408,Cash,5000
20409,2,1,2022-12-05,INV1409,Credit Card,8000
20410,1,2,2024-06-12,INV1410,Cash,5000
20411,1,1,2022-02-08,INV1411,Cash,5000
20412,4,1,2023-04-16,INV1412,Cash,16000
20413,1,1,2022-09-23,INV1413,Cash,5000
20414,2,2,2023-08-07,INV1414,Instapay,8000
20415,1,3,2023-04-29,INV1415,Cash,5000
20416,2,3,2023-04-05,INV1416,Cash,8000
20417,5,1,2023-03-29,INV1417,Credit Card,30000
20418,3,3,2022-11-07,INV1418,Instapay,15000
20419,5,3,2024-08-19,INV1419,Credit Card,30000
20420,4,3,2023-09-07,INV1420,Cash,16000
20421,4,3,2021-10-11,INV1421,Cash,16000
20422,4,2,2022-01-10,INV1422,Instapay,16000
20423,4,2,2021-12-19,INV1423,Instapay,16000
20424,1,1,2023-12-21,INV1424,Instapay,5000
20425,1,1,2022-03-12,INV1425,Cash,5000
20426,5,3,2022-06-01,INV1426,Cash,30000
20427,1,1,2023-07-11,INV1427,Credit Card,5000
20428,1,1,2022-07-19,INV1428,Instapay,5000
20429,1,1,2022-05-25,INV1429,Cash,5000
20430,3,2,2023-02-11,INV1430,Instapay,15000
20431,1,1,2023-03-24,INV1431,Credit Card,5000
20432,4,2,2024-06-08,INV1432,Credit Card,16000
20433,2,1,2024-01-25,INV1433,Credit Card,8000
20434,5,1,2023-09-14,INV1434,Instapay,30000
20435,2,2,2021-08-11,INV1435,Instapay,8000
20436,1,1,2022-04-24,INV1436,Credit Card,5000
20437,1,2,2023-02-02,INV1437,Instapay,5000
20438,1,1,2022-11-29,INV1438,Instapay,5000
20439,3,1,2023-08-18,INV1439,Instapay,15000
20440,2,3,2021-12-20,INV1440,Instapay,8000
20441,4,2,2022-04-21,INV1441,Instapay,16000
20442,3,1,2023-01-17,INV1442,Cash,15000
20443,5,4,2022-03-08,INV1443,Cash,30000
20444,3,2,2021-12-06,INV1444,Credit Card,15000
20445,2,2,2022-09-27,INV1445,Cash,8000
20446,3,2,2025-02-07,INV1446,Cash,15000
20447,5,4,2024-02-04,INV1447,Credit Card,30000
20448,5,1,2023-06-23,INV1448,Cash,30000
20449,1,4,2022-11-02,INV1449,Cash,5000
20450,2,2,2024-07-07,INV1450,Cash,8000
20451,2,1,2023-08-16,INV1451,Instapay,8000
20452,1,3,2022-06-23,INV1452,Credit Card,5000
20453,5,4,2023-07-06,INV1453,Cash,30000
20454,3,2,2025-01-14,INV1454,Cash,15000
20455,5,1,2022-03-18,INV1455,Instapay,30000
20456,2,1,2022-08-26,INV1456,Credit Card,8000
20457,1,2,2023-04-17,INV1457,Credit Card,5000
20458,1,2,2023-05-18,INV1458,Credit Card,5000
20459,3,3,2024-05-01,INV1459,Instapay,15000
20460,1,1,2023-04-13,INV1460,Instapay,5000
20461,3,2,2022-03-27,INV1461,Credit Card,15000
20462,3,1,2022-08-19,INV1462,Credit Card,15000
20463,1,1,2022-12-06,INV1463,Cash,5000
20464,3,2,2022-11-26,INV1464,Cash,15000
20465,1,2,2023-09-08,INV1465,Instapay,5000
20466,5,3,2023-04-15,INV1466,Credit Card,30000
20467,4,3,2021-10-11,INV1467,Cash,16000
20468,5,1,2023-04-20,INV1468,Instapay,30000
20469,4,2,2022-03-06,INV1469,Credit Card,16000
20470,2,2,2023-10-16,INV1470,Instapay,8000
20471,4,3,2022-07-10,INV1471,Instapay,16000
20472,1,1,2022-12-01,INV1472,Instapay,5000
20473,1,1,2024-03-25,INV1473,Credit Card,5000
20474,1,2,2023-10-09,INV1474,Cash,5000
20475,1,3,2021-11-28,INV1475,Cash,5000
20476,4,2,2023-03-16,INV1476,Cash,16000
20477,2,3,2024-12-27,INV1477,Credit Card,8000
20478,5,1,2023-06-03,INV1478,Instapay,30000
20479,2,2,2023-10-11,INV1479,Instapay,8000
20480,3,1,2023-03-06,INV1480,Credit Card,15000
20481,2,3,2025-01-25,INV1481,Cash,8000
20482,1,2,2024-12-08,INV1482,Credit Card,5000
20483,2,1,2021-06-19,INV1483,Instapay,8000
20484,3,1,2022-11-27,INV1484,Credit Card,15000
20485,1,2,2024-06-03,INV1485,Instapay,5000
20486,2,3,2023-09-27,INV1486,Cash,8000
20487,2,3,2022-09-25,INV1487,Cash,8000
20488,1,1,2023-05-17,INV1488,Credit Card,5000
20489,2,1,2023-02-03,INV1489,Instapay,8000
20490,4,2,2023-08-24,INV1490,Credit Card,16000
20491,5,2,2022-03-24,INV1491,Instapay,30000
20492,5,2,2023-10-09,INV1492,Credit Card,30000
20493,4,1,2022-07-12,INV1493,Cash,16000
20494,4,1,2023-09-04,INV1494,Cash,16000
20495,2,1,2024-04-29,INV1495,Instapay,8000
20496,4,2,2023-07-19,INV1496,Instapay,16000
20497,4,2,2023-02-25,INV1497,Credit Card,16000
20498,4,3,2021-12-08,INV1498,Credit Card,16000
20499,3,2,2023-05-16,INV1499,Credit Card,15000
20500,1,2,2023-06-29,INV1500,Instapay,5000
20501,2,3,2023-09-21,INV1501,Cash,8000
20502,4,1,2023-12-07,INV1502,Cash,16000
20503,4,1,2022-11-05,INV1503,Instapay,16000
20504,4,2,2023-07-08,INV1504,Credit Card,16000
20505,3,2,2022-04-05,INV1505,Instapay,15000
20506,5,2,2023-01-16,INV1506,Cash,30000
20507,1,2,2023-01-19,INV1507,Instapay,5000
20508,5,2,2023-08-23,INV1508,Credit Card,30000
20509,4,3,2024-02-03,INV1509,Cash,16000
20510,4,3,2021-06-25,INV1510,Cash,16000
20511,5,2,2023-01-03,INV1511,Instapay,30000
20512,5,2,2021-08-17,INV1512,Credit Card,30000
20513,5,1,2023-08-27,INV1513,Credit Card,30000
20514,5,3,2023-04-22,INV1514,Credit Card,30000
20515,1,2,2025-04-20,INV1515,Cash,5000
