Trainee ID,Membership ID,Status,Start Date,Expiry Date
20126,2,Expired,2022-05-15,2022-11-15
20127,5,Expired,2021-11-26,2023-11-26
20128,1,Expired,2024-09-05,2024-12-05
20129,4,Expired,2023-01-02,2024-01-02
20130,1,Expired,2025-04-12,2025-07-12
20131,2,Expired,2021-10-11,2022-04-11
20132,4,Expired,2024-04-12,2025-04-12
20133,5,Expired,2022-09-16,2024-09-16
20134,5,Expired,2023-02-20,2025-02-20
20135,5,Expired,2021-05-29,2023-05-29
20136,1,Expired,2024-11-09,2025-02-09
20137,1,Expired,2022-01-31,2022-04-30
20138,4,Expired,2023-06-27,2024-06-27
20139,4,Expired,2024-08-03,2025-08-03
20140,2,Expired,2023-04-19,2023-10-19
20141,3,Expired,2024-06-19,2025-06-19
20142,3,Expired,2022-11-27,2023-11-27
20143,1,Expired,2023-10-17,2024-01-17
20144,5,Expired,2023-08-24,2025-08-24
20145,1,Expired,2024-08-01,2024-11-01
20146,4,Expired,2021-09-07,2022-09-07
20147,2,Expired,2023-09-26,2024-03-26
20148,3,Expired,2023-07-02,2024-07-02
20149,4,Expired,2022-05-26,2023-05-26
20150,3,Expired,2023-01-19,2024-01-19
20151,2,Expired,2022-08-13,2023-02-13
20152,3,Expired,2022-05-20,2023-05-20
20153,5,Active,2024-05-31,2026-05-31
20154,1,Expired,2022-12-07,2023-03-07
20155,4,Expired,2023-02-21,2024-02-21
20156,3,Expired,2022-09-09,2023-09-09
20157,5,Expired,2022-02-24,2024-02-24
20158,1,Expired,2023-04-22,2023-07-22
20159,4,Active,2025-01-22,2026-01-22
20160,1,Expired,2024-10-08,2025-01-08
20161,5,Active,2025-03-25,2027-03-25
20162,4,Expired,2022-12-23,2023-12-23
20163,2,Expired,2022-09-06,2023-03-06
20164,4,Expired,2023-04-12,2024-04-12
20165,1,Expired,2023-12-04,2024-03-04
20166,4,Expired,2023-01-18,2024-01-18
20167,1,Expired,2023-04-22,2023-07-22
20168,1,Expired,2022-11-30,2023-02-28
20169,4,Expired,2022-09-08,2023-09-08
20170,2,Expired,2023-01-11,2023-07-11
20171,3,Expired,2024-04-01,2025-04-01
20172,4,Expired,2023-07-24,2024-07-24
20173,2,Expired,2024-01-19,2024-07-19
20174,1,Expired,2023-05-24,2023-08-24
20175,5,Active,2024-11-22,2026-11-22
20176,2,Expired,2022-01-23,2022-07-23
20177,1,Expired,2022-05-08,2022-08-08
20178,3,Expired,2024-08-02,2025-08-02
20179,1,Expired,2025-03-02,2025-06-02
20180,4,Expired,2024-07-12,2025-07-12
20181,1,Expired,2022-04-10,2022-07-10
20182,3,Expired,2021-10-16,2022-10-16
20183,2,Expired,2024-04-15,2024-10-15
20184,5,Expired,2022-01-02,2024-01-02
20185,2,Expired,2021-08-31,2022-02-28
20186,5,Active,2024-04-18,2026-04-18
20187,2,Expired,2024-01-03,2024-07-03
20188,2,Expired,2023-03-16,2023-09-16
20189,5,Expired,2022-07-03,2024-07-03
20190,1,Expired,2023-03-03,2023-06-03
20191,4,Expired,2022-09-20,2023-09-20
20192,3,Expired,2022-12-16,2023-12-16
20193,2,Expired,2023-02-18,2023-08-18
20194,3,Expired,2023-10-24,2024-10-24
20195,3,Expired,2022-12-01,2023-12-01
20196,1,Expired,2022-08-23,2022-11-23
20197,1,Expired,2024-05-13,2024-08-13
20198,2,Expired,2021-09-17,2022-03-17
20199,5,Expired,2021-12-15,2023-12-15
20200,3,Expired,2022-12-20,2023-12-20
20201,3,Active,2024-12-07,2025-12-07
20202,5,Expired,2022-03-01,2024-03-01
20203,3,Expired,2024-04-02,2025-04-02
20204,1,Expired,2023-11-27,2024-02-27
20205,3,Expired,2023-06-10,2024-06-10
20206,3,Expired,2023-03-17,2024-03-17
20207,3,Expired,2023-03-22,2024-03-22
20208,5,Expired,2022-06-21,2024-06-21
20209,5,Expired,2023-09-02,2025-09-02
20210,3,Expired,2023-08-29,2024-08-29
20211,3,Expired,2023-01-07,2024-01-07
20212,3,Expired,2022-05-14,2023-05-14
20213,3,Expired,2021-07-06,2022-07-06
20214,3,Expired,2021-12-06,2022-12-06
20215,5,Expired,2023-06-30,2025-06-30
20216,3,Expired,2022-04-18,2023-04-18
20217,3,Expired,2022-12-19,2023-12-19
20218,3,Expired,2021-12-03,2022-12-03
20219,2,Expired,2023-10-19,2024-04-19
20220,3,Expired,2023-10-13,2024-10-13
20221,2,Expired,2022-03-12,2022-09-12
20222,5,Active,2024-07-13,2026-07-13
20223,5,Active,2024-11-14,2026-11-14
20224,5,Expired,2022-11-19,2024-11-19
20225,5,Expired,2023-06-01,2025-06-01
20226,3,Expired,2023-10-17,2024-10-17
20227,5,Expired,2022-12-01,2024-12-01
20228,2,Expired,2023-07-27,2024-01-27
20229,2,Expired,2021-05-25,2021-11-25
20230,3,Expired,2023-03-31,2024-03-31
20231,3,Expired,2024-07-09,2025-07-09
20232,2,Expired,2022-03-16,2022-09-16
20233,2,Expired,2025-04-02,2025-10-02
20234,3,Expired,2024-09-16,2025-09-16
20235,4,Expired,2024-05-27,2025-05-27
20236,1,Expired,2022-12-23,2023-03-23
20237,1,Expired,2023-09-01,2023-12-01
20238,4,Expired,2023-03-02,2024-03-02
20239,1,Expired,2021-09-08,2021-12-08
20240,1,Expired,2024-06-09,2024-09-09
20241,3,Expired,2023-06-20,2024-06-20
20242,1,Expired,2023-05-19,2023-08-19
20243,4,Expired,2022-02-07,2023-02-07
20244,2,Expired,2022-07-02,2023-01-02
20245,1,Expired,2023-08-12,2023-11-12
20246,3,Expired,2023-02-01,2024-02-01
20247,4,Expired,2022-12-02,2023-12-02
20248,1,Expired,2022-05-09,2022-08-09
20249,4,Expired,2022-12-16,2023-12-16
20250,3,Expired,2022-08-23,2023-08-23
20251,1,Expired,2022-09-01,2022-12-01
20252,2,Expired,2023-04-16,2023-10-16
20253,4,Expired,2024-05-15,2025-05-15
20254,2,Expired,2023-12-21,2024-06-21
20255,5,Expired,2023-06-18,2025-06-18
20256,4,Active,2024-11-24,2025-11-24
20257,5,Active,2024-03-23,2026-03-23
20258,5,Expired,2022-11-08,2024-11-08
20259,5,Active,2025-03-07,2027-03-07
20260,3,Expired,2024-10-25,2025-10-25
20261,3,Expired,2023-11-06,2024-11-06
20262,5,Active,2024-04-17,2026-04-17
20263,5,Active,2024-03-20,2026-03-20
20264,5,Expired,2023-04-20,2025-04-20
20265,3,Expired,2023-06-18,2024-06-18
20266,1,Expired,2022-08-30,2022-11-30
20267,2,Expired,2023-12-23,2024-06-23
20268,2,Expired,2023-03-01,2023-09-01
20269,2,Expired,2022-03-15,2022-09-15
20270,2,Expired,2024-04-14,2024-10-14
20271,3,Expired,2024-04-06,2025-04-06
20272,5,Active,2024-06-03,2026-06-03
20273,4,Expired,2023-01-03,2024-01-03
20274,4,Active,2024-12-17,2025-12-17
20275,5,Expired,2022-09-25,2024-09-25
20276,3,Expired,2022-12-13,2023-12-13
20277,3,Expired,2023-12-13,2024-12-13
20278,3,Expired,2023-04-13,2024-04-13
20279,1,Expired,2023-05-10,2023-08-10
20280,1,Expired,2024-12-03,2025-03-03
20281,3,Expired,2022-01-25,2023-01-25
20282,3,Expired,2024-02-24,2025-02-24
20283,1,Expired,2023-12-02,2024-03-02
20284,5,Expired,2023-03-23,2025-03-23
20285,1,Expired,2024-03-17,2024-06-17
20286,3,Expired,2022-04-19,2023-04-19
20287,5,Expired,2022-05-05,2024-05-05
20288,2,Expired,2021-12-13,2022-06-13
20289,1,Expired,2024-09-25,2024-12-25
20290,1,Expired,2023-09-01,2023-12-01
20291,5,Expired,2023-05-24,2025-05-24
20292,5,Expired,2023-06-15,2025-06-15
20293,1,Expired,2023-08-04,2023-11-04
20294,4,Expired,2022-02-23,2023-02-23
20295,4,Expired,2023-07-26,2024-07-26
20296,3,Expired,2022-12-09,2023-12-09
20297,1,Expired,2023-09-17,2023-12-17
20298,2,Expired,2023-09-09,2024-03-09
20299,2,Expired,2022-07-18,2023-01-18
20300,4,Expired,2022-10-30,2023-10-30
20301,2,Expired,2024-10-28,2025-04-28
20302,2,Expired,2022-06-01,2022-12-01
20303,5,Active,2025-05-03,2027-05-03
20304,5,Expired,2023-01-22,2025-01-22
20305,1,Expired,2022-11-21,2023-02-21
20306,2,Expired,2024-07-03,2025-01-03
20307,2,Expired,2023-05-18,2023-11-18
20308,1,Expired,2022-12-14,2023-03-14
20309,5,Expired,2023-04-10,2025-04-10
20310,4,Expired,2023-01-22,2024-01-22
20311,5,Active,2024-04-24,2026-04-24
20312,3,Expired,2023-07-31,2024-07-31
20313,3,Expired,2022-04-25,2023-04-25
20314,1,Expired,2021-12-02,2022-03-02
20315,5,Expired,2022-11-12,2024-11-12
20316,1,Expired,2023-10-01,2024-01-01
20317,4,Expired,2022-10-01,2023-10-01
20318,2,Expired,2023-09-04,2024-03-04
20319,3,Expired,2023-12-30,2024-12-30
20320,2,Expired,2023-10-11,2024-04-11
20321,4,Expired,2023-09-12,2024-09-12
20322,4,Expired,2023-08-20,2024-08-20
20323,4,Active,2025-03-24,2026-03-24
20324,5,Expired,2022-12-02,2024-12-02
20325,3,Expired,2022-03-31,2023-03-31
20326,1,Expired,2024-03-05,2024-06-05
20327,3,Expired,2024-08-15,2025-08-15
20328,5,Expired,2022-08-19,2024-08-19
20329,5,Expired,2023-02-11,2025-02-11
20330,1,Expired,2025-03-13,2025-06-13
20331,1,Expired,2024-10-05,2025-01-05
20332,1,Expired,2023-09-14,2023-12-14
20333,3,Expired,2022-11-16,2023-11-16
20334,2,Expired,2023-11-12,2024-05-12
20335,1,Expired,2023-10-24,2024-01-24
20336,5,Active,2024-02-05,2026-02-05
20337,4,Expired,2021-12-13,2022-12-13
20338,5,Expired,2023-01-14,2025-01-14
20339,2,Expired,2023-11-05,2024-05-05
20340,4,Expired,2024-02-04,2025-02-04
20341,1,Expired,2024-06-18,2024-09-18
20342,4,Expired,2022-01-14,2023-01-14
20343,5,Active,2025-01-04,2027-01-04
20344,2,Expired,2022-06-24,2022-12-24
20345,3,Expired,2023-01-05,2024-01-05
20346,5,Expired,2021-08-18,2023-08-18
20347,5,Active,2024-03-18,2026-03-18
20348,2,Expired,2024-01-13,2024-07-13
20349,5,Active,2024-12-22,2026-12-22
20350,4,Expired,2022-10-27,2023-10-27
20351,4,Expired,2022-10-05,2023-10-05
20352,5,Expired,2023-07-28,2025-07-28
20353,5,Expired,2023-06-29,2025-06-29
20354,4,Expired,2022-11-14,2023-11-14
20355,3,Expired,2023-08-26,2024-08-26
20356,5,Active,2024-06-18,2026-06-18
20357,3,Expired,2022-09-23,2023-09-23
20358,2,Expired,2023-05-05,2023-11-05
20359,1,Expired,2022-12-27,2023-03-27
20360,2,Expired,2021-05-26,2021-11-26
20361,1,Expired,2022-06-29,2022-09-29
20362,3,Expired,2022-03-08,2023-03-08
20363,2,Expired,2023-02-20,2023-08-20
20364,1,Expired,2022-01-29,2022-04-29
20365,1,Expired,2022-01-03,2022-04-03
20366,5,Expired,2022-02-14,2024-02-14
20367,4,Expired,2023-07-08,2024-07-08
20368,2,Expired,2024-09-27,2025-03-27
20369,3,Expired,2024-04-02,2025-04-02
20370,1,Expired,2024-09-25,2024-12-25
20371,4,Expired,2023-07-14,2024-07-14
20372,3,Expired,2023-03-14,2024-03-14
20373,5,Expired,2023-11-01,2025-11-01
20374,1,Expired,2021-05-30,2021-08-30
20375,1,Expired,2022-11-03,2023-02-03
20376,3,Expired,2022-04-06,2023-04-06
20377,5,Expired,2022-03-22,2024-03-22
20378,3,Expired,2023-02-09,2024-02-09
20379,4,Expired,2022-03-26,2023-03-26
20380,2,Expired,2024-11-19,2025-05-19
20381,3,Expired,2022-01-13,2023-01-13
20382,3,Expired,2023-06-22,2024-06-22
20383,3,Expired,2023-08-22,2024-08-22
20384,5,Expired,2023-10-17,2025-10-17
20385,4,Active,2025-04-22,2026-04-22
20386,4,Expired,2024-07-13,2025-07-13
20387,2,Expired,2022-01-02,2022-07-02
20388,1,Expired,2022-01-19,2022-04-19
20389,3,Expired,2023-06-30,2024-06-30
20390,5,Active,2023-12-05,2025-12-05
20391,5,Expired,2022-02-03,2024-02-03
20392,1,Expired,2024-04-02,2024-07-02
20393,1,Expired,2023-01-30,2023-04-30
20394,4,Expired,2023-12-20,2024-12-20
20395,3,Expired,2021-06-23,2022-06-23
20396,4,Expired,2021-12-25,2022-12-25
20397,2,Expired,2023-09-30,2024-03-30
20398,4,Expired,2022-10-21,2023-10-21
20399,2,Expired,2023-08-29,2024-02-29
20400,3,Expired,2021-06-23,2022-06-23
20401,2,Expired,2023-04-22,2023-10-22
20402,5,Expired,2023-05-29,2025-05-29
20403,2,Expired,2022-03-01,2022-09-01
20404,5,Active,2024-04-18,2026-04-18
20405,3,Expired,2022-01-24,2023-01-24
20406,2,Expired,2022-10-01,2023-04-01
20407,4,Expired,2024-05-18,2025-05-18
20408,1,Expired,2023-08-17,2023-11-17
20409,2,Expired,2022-12-05,2023-06-05
20410,1,Expired,2024-06-12,2024-09-12
20411,1,Expired,2022-02-08,2022-05-08
20412,4,Expired,2023-04-16,2024-04-16
20413,1,Expired,2022-09-23,2022-12-23
20414,2,Expired,2023-08-07,2024-02-07
20415,1,Expired,2023-04-29,2023-07-29
20416,2,Expired,2023-04-05,2023-10-05
20417,5,Expired,2023-03-29,2025-03-29
20418,3,Expired,2022-11-07,2023-11-07
20419,5,Active,2024-08-19,2026-08-19
20420,4,Expired,2023-09-07,2024-09-07
20421,4,Expired,2021-10-11,2022-10-11
20422,4,Expired,2022-01-10,2023-01-10
20423,4,Expired,2021-12-19,2022-12-19
20424,1,Expired,2023-12-21,2024-03-21
20425,1,Expired,2022-03-12,2022-06-12
20426,5,Expired,2022-06-01,2024-06-01
20427,1,Expired,2023-07-11,2023-10-11
20428,1,Expired,2022-07-19,2022-10-19
20429,1,Expired,2022-05-25,2022-08-25
20430,3,Expired,2023-02-11,2024-02-11
20431,1,Expired,2023-03-24,2023-06-24
20432,4,Expired,2024-06-08,2025-06-08
20433,2,Expired,2024-01-25,2024-07-25
20434,5,Expired,2023-09-14,2025-09-14
20435,2,Expired,2021-08-11,2022-02-11
20436,1,Expired,2022-04-24,2022-07-24
20437,1,Expired,2023-02-02,2023-05-02
20438,1,Expired,2022-11-29,2023-02-28
20439,3,Expired,2023-08-18,2024-08-18
20440,2,Expired,2021-12-20,2022-06-20
20441,4,Expired,2022-04-21,2023-04-21
20442,3,Expired,2023-01-17,2024-01-17
20443,5,Expired,2022-03-08,2024-03-08
20444,3,Expired,2021-12-06,2022-12-06
20445,2,Expired,2022-09-27,2023-03-27
20446,3,Active,2025-02-07,2026-02-07
20447,5,Active,2024-02-04,2026-02-04
20448,5,Expired,2023-06-23,2025-06-23
20449,1,Expired,2022-11-02,2023-02-02
20450,2,Expired,2024-07-07,2025-01-07
20451,2,Expired,2023-08-16,2024-02-16
20452,1,Expired,2022-06-23,2022-09-23
20453,5,Expired,2023-07-06,2025-07-06
20454,3,Active,2025-01-14,2026-01-14
20455,5,Expired,2022-03-18,2024-03-18
20456,2,Expired,2022-08-26,2023-02-26
20457,1,Expired,2023-04-17,2023-07-17
20458,1,Expired,2023-05-18,2023-08-18
20459,3,Expired,2024-05-01,2025-05-01
20460,1,Expired,2023-04-13,2023-07-13
20461,3,Expired,2022-03-27,2023-03-27
20462,3,Expired,2022-08-19,2023-08-19
20463,1,Expired,2022-12-06,2023-03-06
20464,3,Expired,2022-11-26,2023-11-26
20465,1,Expired,2023-09-08,2023-12-08
20466,5,Expired,2023-04-15,2025-04-15
20467,4,Expired,2021-10-11,2022-10-11
20468,5,Expired,2023-04-20,2025-04-20
20469,4,Expired,2022-03-06,2023-03-06
20470,2,Expired,2023-10-16,2024-04-16
20471,4,Expired,2022-07-10,2023-07-10
20472,1,Expired,2022-12-01,2023-03-01
20473,1,Expired,2024-03-25,2024-06-25
20474,1,Expired,2023-10-09,2024-01-09
20475,1,Expired,2021-11-28,2022-02-28
20476,4,Expired,2023-03-16,2024-03-16
20477,2,Expired,2024-12-27,2025-06-27
20478,5,Expired,2023-06-03,2025-06-03
20479,2,Expired,2023-10-11,2024-04-11
20480,3,Expired,2023-03-06,2024-03-06
20481,2,Expired,2025-01-25,2025-07-25
20482,1,Expired,2024-12-08,2025-03-08
20483,2,Expired,2021-06-19,2021-12-19
20484,3,Expired,2022-11-27,2023-11-27
20485,1,Expired,2024-06-03,2024-09-03
20486,2,Expired,2023-09-27,2024-03-27
20487,2,Expired,2022-09-25,2023-03-25
20488,1,Expired,2023-05-17,2023-08-17
20489,2,Expired,2023-02-03,2023-08-03
20490,4,Expired,2023-08-24,2024-08-24
20491,5,Expired,2022-03-24,2024-03-24
20492,5,Expired,2023-10-09,2025-10-09
20493,4,Expired,2022-07-12,2023-07-12
20494,4,Expired,2023-09-04,2024-09-04
20495,2,Expired,2024-04-29,2024-10-29
20496,4,Expired,2023-07-19,2024-07-19
20497,4,Expired,2023-02-25,2024-02-25
20498,4,Expired,2021-12-08,2022-12-08
20499,3,Expired,2023-05-16,2024-05-16
20500,1,Expired,2023-06-29,2023-09-29
20501,2,Expired,2023-09-21,2024-03-21
20502,4,Expired,2023-12-07,2024-12-07
20503,4,Expired,2022-11-05,2023-11-05
20504,4,Expired,2023-07-08,2024-07-08
20505,3,Expired,2022-04-05,2023-04-05
20506,5,Expired,2023-01-16,2025-01-16
20507,1,Expired,2023-01-19,2023-04-19
20508,5,Expired,2023-08-23,2025-08-23
20509,4,Expired,2024-02-03,2025-02-03
20510,4,Expired,2021-06-25,2022-06-25
20511,5,Expired,2023-01-03,2025-01-03
20512,5,Expired,2021-08-17,2023-08-17
20513,5,Expired,2023-08-27,2025-08-27
20514,5,Expired,2023-04-22,2025-04-22
20515,1,Expired,2025-04-20,2025-07-20
20516,2,Expired,2023-07-21,2024-01-21
20517,5,Expired,2021-12-31,2023-12-31
20518,5,Expired,2023-04-11,2025-04-11
20519,5,Expired,2023-08-20,2025-08-20
20520,3,Expired,2023-02-24,2024-02-24
20521,2,Expired,2024-05-18,2024-11-18
20522,3,Expired,2023-01-05,2024-01-05
20523,1,Expired,2023-12-14,2024-03-14
20524,2,Expired,2022-07-23,2023-01-23
20525,4,Expired,2023-05-06,2024-05-06
20526,4,Expired,2023-02-25,2024-02-25
20527,2,Expired,2023-08-18,2024-02-18
20528,1,Expired,2023-06-13,2023-09-13
20529,3,Expired,2024-08-13,2025-08-13
20530,4,Expired,2021-11-12,2022-11-12
20531,4,Expired,2022-07-24,2023-07-24
20532,2,Expired,2024-04-06,2024-10-06
20533,1,Expired,2024-07-07,2024-10-07
20534,2,Expired,2022-06-24,2022-12-24
20535,1,Expired,2022-04-15,2022-07-15
20536,1,Expired,2023-08-21,2023-11-21
20537,1,Expired,2024-06-24,2024-09-24
20538,2,Expired,2023-02-19,2023-08-19
20539,2,Expired,2024-02-21,2024-08-21
20540,2,Expired,2023-11-17,2024-05-17
20541,5,Expired,2022-07-12,2024-07-12
20542,2,Expired,2022-07-10,2023-01-10
20543,5,Active,2024-07-07,2026-07-07
20544,4,Expired,2024-03-29,2025-03-29
20545,4,Active,2025-01-04,2026-01-04
20546,4,Expired,2022-12-30,2023-12-30
20547,4,Expired,2022-12-09,2023-12-09
20548,5,Expired,2023-08-27,2025-08-27
20549,4,Expired,2022-07-01,2023-07-01
20550,3,Expired,2022-10-27,2023-10-27
20551,5,Active,2024-01-21,2026-01-21
20552,4,Expired,2023-01-29,2024-01-29
20553,4,Expired,2022-11-24,2023-11-24
20554,3,Expired,2021-08-16,2022-08-16
20555,4,Expired,2023-01-22,2024-01-22
20556,1,Expired,2022-10-13,2023-01-13
20557,2,Expired,2023-12-07,2024-06-07
20558,3,Expired,2022-04-02,2023-04-02
20559,4,Expired,2022-12-30,2023-12-30
20560,1,Expired,2022-04-24,2022-07-24
20561,2,Expired,2022-01-08,2022-07-08
20562,2,Expired,2023-11-13,2024-05-13
20563,1,Expired,2023-01-31,2023-04-30
20564,1,Expired,2022-04-22,2022-07-22
20565,3,Expired,2023-08-06,2024-08-06
20566,1,Expired,2023-04-02,2023-07-02
20567,1,Expired,2024-08-11,2024-11-11
20568,5,Expired,2023-01-29,2025-01-29
20569,3,Expired,2021-07-24,2022-07-24
20570,3,Expired,2021-08-12,2022-08-12
20571,5,Expired,2023-08-24,2025-08-24
20572,3,Expired,2023-07-21,2024-07-21
20573,5,Expired,2022-11-16,2024-11-16
20574,3,Expired,2023-02-12,2024-02-12
20575,3,Expired,2023-05-05,2024-05-05
20576,2,Expired,2023-02-07,2023-08-07
20577,4,Expired,2023-11-24,2024-11-24
20578,1,Expired,2022-01-21,2022-04-21
20579,4,Expired,2023-10-20,2024-10-20
20580,5,Expired,2022-08-22,2024-08-22
20581,4,Expired,2021-12-12,2022-12-12
20582,3,Expired,2023-01-02,2024-01-02
20583,2,Expired,2023-02-23,2023-08-23
20584,5,Expired,2023-07-26,2025-07-26
20585,3,Expired,2024-02-29,2025-02-28
20586,5,Expired,2022-12-09,2024-12-09
20587,4,Expired,2022-09-19,2023-09-19
20588,5,Expired,2023-04-16,2025-04-16
20589,3,Expired,2023-05-17,2024-05-17
20590,2,Expired,2023-05-15,2023-11-15
20591,2,Expired,2022-07-13,2023-01-13
20592,1,Expired,2024-07-15,2024-10-15
20593,5,Expired,2022-10-11,2024-10-11
20594,5,Expired,2023-06-14,2025-06-14
20595,3,Expired,2024-10-11,2025-10-11
20596,3,Expired,2022-07-29,2023-07-29
20597,1,Expired,2022-03-20,2022-06-20
20598,5,Active,2024-06-01,2026-06-01
20599,3,Expired,2023-06-29,2024-06-29
20600,5,Expired,2022-12-08,2024-12-08
20601,5,Expired,2022-08-22,2024-08-22
20602,1,Expired,2023-07-06,2023-10-06
20603,2,Expired,2023-06-05,2023-12-05
20604,2,Expired,2024-03-22,2024-09-22
20605,1,Expired,2024-02-07,2024-05-07
20606,1,Expired,2022-11-19,2023-02-19
20607,4,Active,2024-11-14,2025-11-14
20608,3,Expired,2021-12-31,2022-12-31
